2000    17896.7
2000    17673.6
2000    17478.2
2000    17191
2000    17108
2000    16814.8
4000    15321.8
4000    15230.6
4000    15029.8
4000    14107.3
6000    13301.2
6000    13279.4
6000    12837.4
8000    11952.1
8000    11472.2
8000    11347.9
10000   10552.8
10000   10253.2
12000   9963.1
12000   9771.77
12000   9723.78
14000   9709.24
14000   9514.63
14000   9506.59
14000   9414.3
14000   9166.28
14000   8659.38
16000   8583.31
16000   8344.17
16000   8297.75
18000   8125.27
18000   8078.31
20000   7360.65
20000   7225.03
20000   7224.22
22000   7117.37
24000   7039.35
24000   6350.19
28000   6310.87
28000   6020.89
30000   5954.65
32000   5866.52
36000   5861.73
36000   5798.37
42000   5759.67
44000   5732.38
46000   5657.21
56000   5586.27
